Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Удовиченко,Устим,Михайлович,Чоловік,03.10.2012,Редактор,хутір Бахмут,"проспект Базарна, буд. 16 кв. 68, Брянка, 94623",+380 78 474-21-92,dmalyk@example.net
Жадан,Георгій,Миколайович,Чоловік,04.10.2009,Художник,місто Снігурівка,"площа 12-та ст. Великого Фонтану пляж, буд. 42, Сколе, 89069",+380 (55) 135-50-03,ada08@example.org
Чуйко,Людмила,Єгорівна,Жінка,02.10.2018,Програміст,місто Шумськ,"узвіз Маловського, буд. 11 кв. 839, Подільськ, 61889",+380 52 812-17-47,leopoldkonoplia@example.net
Архипенко,Людмила,Дмитрівна,Жінка,01.10.2023,Художник,селище Судова Вишня,"вулиця Івана Вазова, буд. 261 кв. 9, Гола Пристань, 32588",+380 42 252-14-04,dubynaoleksa@example.net
Цимбалюк,Володимира,Іванівна,Жінка,04.10.2010,Економіст,місто Могилів-Подільський,"набережна Шишкіна 2-й, буд. 0 кв. 19, Покров, 70789",+380 28 316-09-86,sbabii@example.net
Забіла,Еріка,Михайлівна,Жінка,03.10.2015,Прокурор,хутір Жашків,"узвіз Університетський, буд. 788 кв. 26, Золоте, 20370",446-69-72,demian99@example.org
Засуха,Світлана,Сергіївна,Жінка,01.10.2023,Гицель,хутір Золочів,"сквер Лузанівська, буд. 9 кв. 7, Лисичанськ, 91493",052 521 73 90,tsisykvolodymyr@example.net
Сіробаба,Омелян,Петрович,Чоловік,03.10.2013,Палеонтолог,селище Очаків,"шосе Новаторів, буд. 26 кв. 8, Жовква, 43771",+380 36 608-56-31,dubynavioletta@example.org
Шухевич,Пріска,Михайлівна,Жінка,05.10.2007,М'ясник,місто Горохів,"сквер Сєченова, буд. 00, Мелітополь, 57983",+380 52 740-13-72,vkarpa@example.org
Цюпа,Віра,Михайлівна,Жінка,01.10.2021,Біолог,місто Сніжне,"набережна Цебриківська, буд. 671 кв. 0, Полонне, 53333",952 77 42,mykolai43@example.org
Павлик,Сніжана,Миколаївна,Жінка,05.10.2007,Кушнір,хутір Угнів,"проспект Привозна, буд. 36, Ічня, 92215",+380 (79) 930-47-02,hlib90@example.org
Дергач,Стефан,Андрійович,Чоловік,03.10.2015,Патологоанатом,село Золочів,"провулок 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 681, Керч, 88534",+380 (37) 802-70-02,vitaliiliashko@example.net
Овчаренко,Степан,Іванович,Чоловік,01.10.2023,Електрослюсар,селище Виноградів,"парк Амбулаторний 2-й, буд. 2 кв. 99, Винники, 94058",022 570 47 55,zasenkosvitlana@example.com
Абрагамовський,Амалія,Петрівна,Жінка,02.10.2016,Гірник,селище Мирноград,"узвіз Флотський 4-й, буд. 4 кв. 81, Старокостянтинів, 81737",050 219 88 29,oleksandr71@example.net
Приходько,Маруся,Сергіївна,Жінка,04.10.2011,Стиліст,селище Суходільськ,"вулиця Луцька, буд. 04, Бердичів, 79756",098 678 45 50,zorian52@example.com
Данько,Олекса,Єгорович,Чоловік,01.10.2022,Реабілітолог,місто Славутич,"парк Рощева, буд. 28, Світловодськ, 11995",022 417 74 01,alinadrobiazko@example.org
Ковпак,Ольга,Миколаївна,Жінка,04.10.2008,Петрограф,місто Сорокине,"узвіз Лодочний, буд. 97 кв. 54, Радомишль, 28642",620 79 15,sofiia03@example.org
Тягнибок,Данна,Володимирівна,Жінка,04.10.2011,Ріелтор,селище Христинівка,"вулиця Єлісаветинська, буд. 774 кв. 702, Фастів, 64348",086 476-42-73,iakovenkoiryna@example.com
Джус,Захар,Сергійович,Чоловік,05.10.2007,Музикознавець,селище Барвінкове,"проспект Генуезька, буд. 648, Українськ, 11942",+380 63 041-68-40,solomiia23@example.org
Пустовіт,Аліна,Петрівна,Жінка,05.10.2007,Юрист,селище Пустомити,"парк Тарутинська, буд. 889, Вижниця, 88697",+380 13 210-40-05,chekaliukhlib@example.net
Фастенко,Аврелій,Іванович,Чоловік,01.10.2021,Кухар,село Старокостянтинів,"набережна Платанова, буд. 101, Красноград, 96054",040 549 65 43,bohdannatsybulenko@example.net
Мазепа,Богдан,Володимирович,Чоловік,02.10.2018,Геолог,місто Хмельницький,"проспект Тимірязєва 3-й, буд. 751 кв. 1, Докучаєвськ, 47788",829 92 74,myron12@example.net
Дейнека,Едуард,Петрович,Чоловік,05.10.2007,Агроном,село Вознесенівка,"шосе Чернігівська, буд. 4, Очаків, 94140",035 109-58-17,oles74@example.org
Данькевич,Августин,Олександрович,Чоловік,01.10.2022,Ді-джей,хутір Острог,"узвіз Аеропортівський 1-й, буд. 4, Барвінкове, 88130",806-63-39,orest99@example.org
Шеремета,Одарка,Іванівна,Жінка,01.10.2020,Різноробочий,селище Баштанка,"площа Васнецова, буд. 3, Глухів, 40759",086 252-34-87,mykyta19@example.com
Романчук,Ганна,Сергіївна,Жінка,03.10.2014,Вчитель,село Переяслав,"площа Незалежності, буд. 29, Тульчин, 92732",+380 26 855 66 88,tetiana74@example.com
Вахній,Марʼяна,Андріївна,Жінка,01.10.2023,Історик,селище Моршин,"проспект 2-га Суворовська, буд. 08 кв. 024, Брянка, 88188",006 812 58 27,rpryimak@example.com
Абрагамовський,Іван,Сергійович,Чоловік,04.10.2011,Модель,селище Антрацит ,"сквер Безіменний, буд. 832, Кальміуське, 66771",043 218 70 66,zabilaoryna@example.org
Чорновіл,Азар,Іванович,Чоловік,02.10.2019,Художник,селище Сімферополь,"провулок Лінія 29-та, буд. 5, Нова Каховка, 91821",+380 (72) 488-17-53,kabanenkoiukhym@example.com
Гайда,Софія,Володимирівна,Жінка,02.10.2019,Футболіст,селище Новгород-Сіверський,"провулок Чехова, буд. 69, Костянтинівка, 43126",051 12 56,iefymenkoliza@example.net
Тихий,Аліна,Михайлівна,Жінка,02.10.2017,Хореограф,селище Острог,"набережна Байдарочний, буд. 7, Корсунь-Шевченківський, 92704",039 493-78-96,kkhudobiak@example.net
Опанасенко,Маруся,Єгорівна,Жінка,01.10.2021,Адвокат,хутір Городня,"сквер Демократична, буд. 7 кв. 0, Корсунь-Шевченківський, 58048",+380 86 013 51 91,priska25@example.net
Андрієвич,Ірена,Андріївна,Жінка,01.10.2023,Композитор,селище Золотоноша,"парк Кутузова, буд. 3, Лутугине, 54323",778 98 09,allakolesnychenko@example.com
Носенко,Леон,Олександрович,Чоловік,03.10.2013,Антрополог,місто Кипуче,"сквер Прорізна, буд. 403 кв. 94, Красноперекопськ, 40113",074 837-58-80,habelkookhrim@example.com
Короленко,Ярослав,Петрович,Чоловік,03.10.2015,Програміст,селище Верхівцеве,"проспект Херсонський сквер, буд. 8, Дрогобич, 87120",+380 25 104 72 34,myroslavbalaban@example.net
Жайворон,Олесь,Іванович,Чоловік,04.10.2010,Зоолог,місто Жашків,"вулиця Балтський 1-й, буд. 106, Покровськ, 59999",+380 25 535-18-43,iustynaandriienko@example.com
Лубенець,Ярослава,Єгорівна,Жінка,02.10.2016,Електромонтер,село Бердичів,"парк Літературна, буд. 252 кв. 74, Устилуг, 34053",026 073 54 05,iakivhavrylyshyn@example.com
Жаліло,Едуард,Іванович,Чоловік,03.10.2015,Кіноактор,селище Полтава,"проспект Черепанових 2-й, буд. 0 кв. 317, Чернігів, 57780",093 976 31 97,vievdokymenko@example.net
Артимович,Галина,Олександрівна,Жінка,01.10.2021,Лікар,хутір Керч,"площа Обільна, буд. 785, П'ятихатки, 93960",+380 60 111-14-65,babarychenkohryhorii@example.net
Христич,Марія,Петрівна,Жінка,03.10.2013,Юрист,селище Червоносів,"узвіз Черепанових, буд. 11 кв. 3, Селидове, 20219",+380 (02) 683-74-62,mykhailyna43@example.com
